    #Energy        TDOS
    #TDOS obtained from EIGENVAL file
    -6.03993     0.00000
    -6.03493     0.00000
    -6.02993     0.00001
    -6.02493     0.00001
    -6.01993     0.00001
    -6.01493     0.00001
    -6.00993     0.00001
    -6.00493     0.00001
    -5.99993     0.00002
    -5.99493     0.00002
    -5.98993     0.00002
    -5.98493     0.00003
    -5.97993     0.00003
    -5.97493     0.00003
    -5.96993     0.00004
    -5.96493     0.00005
    -5.95993     0.00006
    -5.95493     0.00007
    -5.94993     0.00008
    -5.94493     0.00009
    -5.93993     0.00011
    -5.93493     0.00012
    -5.92993     0.00015
    -5.92493     0.00017
    -5.91993     0.00020
    -5.91493     0.00023
    -5.90993     0.00027
    -5.90493     0.00031
    -5.89993     0.00036
    -5.89493     0.00041
    -5.88993     0.00048
    -5.88493     0.00055
    -5.87993     0.00064
    -5.87493     0.00073
    -5.86993     0.00084
    -5.86493     0.00097
    -5.85993     0.00112
    -5.85493     0.00128
    -5.84993     0.00147
    -5.84493     0.00168
    -5.83993     0.00192
    -5.83493     0.00219
    -5.82993     0.00250
    -5.82493     0.00285
    -5.81993     0.00325
    -5.81493     0.00369
    -5.80993     0.00420
    -5.80493     0.00476
    -5.79993     0.00540
    -5.79493     0.00611
    -5.78993     0.00692
    -5.78493     0.00782
    -5.77993     0.00882
    -5.77493     0.00995
    -5.76993     0.01121
    -5.76493     0.01261
    -5.75993     0.01417
    -5.75493     0.01591
    -5.74993     0.01785
    -5.74493     0.01999
    -5.73993     0.02238
    -5.73493     0.02502
    -5.72993     0.02794
    -5.72493     0.03117
    -5.71993     0.03473
    -5.71493     0.03867
    -5.70993     0.04300
    -5.70493     0.04777
    -5.69993     0.05301
    -5.69493     0.05877
    -5.68993     0.06508
    -5.68493     0.07199
    -5.67993     0.07956
    -5.67493     0.08783
    -5.66993     0.09686
    -5.66493     0.10671
    -5.65993     0.11743
    -5.65493     0.12910
    -5.64993     0.14179
    -5.64493     0.15556
    -5.63993     0.17050
    -5.63493     0.18668
    -5.62993     0.20419
    -5.62493     0.22311
    -5.61993     0.24354
    -5.61493     0.26557
    -5.60993     0.28931
    -5.60493     0.31485
    -5.59993     0.34230
    -5.59493     0.37178
    -5.58993     0.40340
    -5.58493     0.43727
    -5.57993     0.47353
    -5.57493     0.51228
    -5.56993     0.55367
    -5.56493     0.59782
    -5.55993     0.64486
    -5.55493     0.69494
    -5.54993     0.74819
    -5.54493     0.80475
    -5.53993     0.86477
    -5.53493     0.92838
    -5.52993     0.99573
    -5.52493     1.06697
    -5.51993     1.14224
    -5.51493     1.22169
    -5.50993     1.30546
    -5.50493     1.39369
    -5.49993     1.48654
    -5.49493     1.58413
    -5.48993     1.68661
    -5.48493     1.79411
    -5.47993     1.90676
    -5.47493     2.02470
    -5.46993     2.14804
    -5.46493     2.27691
    -5.45993     2.41141
    -5.45493     2.55166
    -5.44993     2.69775
    -5.44493     2.84978
    -5.43993     3.00784
    -5.43493     3.17201
    -5.42993     3.34235
    -5.42493     3.51893
    -5.41993     3.70180
    -5.41493     3.89100
    -5.40993     4.08656
    -5.40493     4.28851
    -5.39993     4.49686
    -5.39493     4.71161
    -5.38993     4.93274
    -5.38493     5.16023
    -5.37993     5.39405
    -5.37493     5.63414
    -5.36993     5.88045
    -5.36493     6.13291
    -5.35993     6.39142
    -5.35493     6.65589
    -5.34993     6.92620
    -5.34493     7.20223
    -5.33993     7.48384
    -5.33493     7.77087
    -5.32993     8.06318
    -5.32493     8.36057
    -5.31993     8.66285
    -5.31493     8.96984
    -5.30993     9.28130
    -5.30493     9.59702
    -5.29993     9.91676
    -5.29493    10.24028
    -5.28993    10.56732
    -5.28493    10.89760
    -5.27993    11.23086
    -5.27493    11.56682
    -5.26993    11.90518
    -5.26493    12.24565
